Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue
1_Female,Faculty Issues: Expertise/training,98.0,168.0,58.333333333333336,497.0,0.19718309859154928,Female,98.0,399.0,0.0017037121466790689
2_Male,Faculty Issues: Expertise/training,70.0,168.0,41.66666666666667,516.0,0.13565891472868216,Male,70.0,446.0,0.0017037121466790689
1_Female,Faculty Issues: Time,75.0,128.0,58.59375,497.0,0.15090543259557343,Female,75.0,422.0,0.009982237401201438
2_Male,Faculty Issues: Time,53.0,128.0,41.40625,516.0,0.10271317829457365,Male,53.0,463.0,0.009982237401201438
1_Female,Faculty Issues: Curriculum design/integration,16.0,32.0,50.0,497.0,0.03219315895372234,Female,16.0,481.0,0.9999999999999983
2_Male,Faculty Issues: Curriculum design/integration,16.0,32.0,50.0,516.0,0.031007751937984496,Male,16.0,500.0,0.9999999999999983
1_Female,Faculty Issues: Lack of interest,5.0,8.0,62.5,497.0,0.01006036217303823,Female,5.0,492.0,0.6785829398474466
2_Male,Faculty Issues: Lack of interest,3.0,8.0,37.5,516.0,0.005813953488372093,Male,3.0,513.0,0.6785829398474466
1_Female,Faculty Issues: New Faculty,1.0,4.0,25.0,497.0,0.002012072434607646,Female,1.0,496.0,0.6402876560414384
2_Male,Faculty Issues: New Faculty,3.0,4.0,75.0,516.0,0.005813953488372093,Male,3.0,513.0,0.6402876560414384
1_Female,Curriculum Issues: No space,61.0,98.0,62.244897959183675,497.0,0.1227364185110664,Female,61.0,436.0,0.0031333055647328025
2_Male,Curriculum Issues: No space,37.0,98.0,37.755102040816325,516.0,0.07170542635658915,Male,37.0,479.0,0.0031333055647328025
1_Female,Curriculum Issues: Incompatible with current curriculum,29.0,50.0,57.99999999999999,497.0,0.05835010060362173,Female,29.0,468.0,0.2221671708808706
2_Male,Curriculum Issues: Incompatible with current curriculum,21.0,50.0,42.0,516.0,0.040697674418604654,Male,21.0,495.0,0.2221671708808706
1_Female,Curriculum Issues: Time needed to develop,22.0,32.0,68.75,497.0,0.04426559356136821,Female,22.0,475.0,0.030781727780951233
2_Male,Curriculum Issues: Time needed to develop,10.0,32.0,31.25,516.0,0.01937984496124031,Male,10.0,506.0,0.030781727780951233
1_Female,Curriculum Issues: No control,15.0,25.0,60.0,497.0,0.030181086519114688,Female,15.0,482.0,0.35050143357537217
2_Male,Curriculum Issues: No control,10.0,25.0,40.0,516.0,0.01937984496124031,Male,10.0,506.0,0.35050143357537217
1_Female,Curriculum Issues: Covered elsewhere,10.0,15.0,66.66666666666666,497.0,0.02012072434607646,Female,10.0,487.0,0.2564508964082788
2_Male,Curriculum Issues: Covered elsewhere,5.0,15.0,33.33333333333333,516.0,0.009689922480620155,Male,5.0,511.0,0.2564508964082788
1_Female,Curriculum Issues: Class size,4.0,8.0,50.0,497.0,0.008048289738430584,Female,4.0,493.0,0.9999999999999998
2_Male,Curriculum Issues: Class size,4.0,8.0,50.0,516.0,0.007751937984496124,Male,4.0,512.0,0.9999999999999998
1_Female,Curriculum Issues: Plan for future coverage,2.0,9.0,22.22222222222222,497.0,0.004024144869215292,Female,2.0,495.0,0.19447481007210599
2_Male,Curriculum Issues: Plan for future coverage,7.0,9.0,77.77777777777779,516.0,0.013565891472868217,Male,7.0,509.0,0.19447481007210599
1_Female,Curriculum Issues: Too much content,2.0,5.0,40.0,497.0,0.004024144869215292,Female,2.0,495.0,0.9999999999999986
2_Male,Curriculum Issues: Too much content,3.0,5.0,60.0,516.0,0.005813953488372093,Male,3.0,513.0,0.9999999999999986
1_Female,Curriculum Issues: Content requires several courses,0.0,1.0,0.0,497.0,0.0,Female,0.0,497.0,0.9999999999999986
2_Male,Curriculum Issues: Content requires several courses,1.0,1.0,100.0,516.0,0.001937984496124031,Male,1.0,515.0,0.9999999999999986
1_Female,Resource Issues: Access to exercises,20.0,37.0,54.054054054054056,497.0,0.04024144869215292,Female,20.0,477.0,0.6347009323144941
2_Male,Resource Issues: Access to exercises,17.0,37.0,45.94594594594595,516.0,0.03294573643410853,Male,17.0,499.0,0.6347009323144941
1_Female,Resource Issues: Access to lesson plans,24.0,34.0,70.58823529411765,497.0,0.0482897384305835,Female,24.0,473.0,0.013485198254107851
2_Male,Resource Issues: Access to lesson plans,10.0,34.0,29.411764705882355,516.0,0.01937984496124031,Male,10.0,506.0,0.013485198254107851
1_Female,Resource Issues: Access to intro content,10.0,16.0,62.5,497.0,0.02012072434607646,Female,10.0,487.0,0.3956900123362695
2_Male,Resource Issues: Access to intro content,6.0,16.0,37.5,516.0,0.011627906976744186,Male,6.0,510.0,0.3956900123362695
1_Female,Resource Issues: Unable to vet content,13.0,16.0,81.25,497.0,0.026156941649899398,Female,13.0,484.0,0.017005987430822014
2_Male,Resource Issues: Unable to vet content,3.0,16.0,18.75,516.0,0.005813953488372093,Male,3.0,513.0,0.017005987430822014
1_Female,Resource Issues: Funding,8.0,9.0,88.88888888888889,497.0,0.01609657947686117,Female,8.0,489.0,0.036819052212611794
2_Male,Resource Issues: Funding,1.0,9.0,11.11111111111111,516.0,0.001937984496124031,Male,1.0,515.0,0.036819052212611794
1_Female,Resource Issues: No appropriate textbook,5.0,9.0,55.55555555555556,497.0,0.01006036217303823,Female,5.0,492.0,0.9521217556590078
2_Male,Resource Issues: No appropriate textbook,4.0,9.0,44.44444444444444,516.0,0.007751937984496124,Male,4.0,512.0,0.9521217556590078
1_Female,Resource Issues: No access to online exercises,3.0,5.0,60.0,497.0,0.006036217303822937,Female,3.0,494.0,0.9645173044091937
2_Male,Resource Issues: No access to online exercises,2.0,5.0,40.0,516.0,0.003875968992248062,Male,2.0,514.0,0.9645173044091937
1_Female,Resource Issues: No qualified TAs,0.0,1.0,0.0,497.0,0.0,Female,0.0,497.0,0.9999999999999986
2_Male,Resource Issues: No qualified TAs,1.0,1.0,100.0,516.0,0.001937984496124031,Male,1.0,515.0,0.9999999999999986
1_Female,Student Issues: Background knowledge,27.0,51.0,52.94117647058824,497.0,0.05432595573440644,Female,27.0,470.0,0.6485810792430292
2_Male,Student Issues: Background knowledge,24.0,51.0,47.05882352941176,516.0,0.046511627906976744,Male,24.0,492.0,0.6485810792430292
1_Female,Student Issues: Interest in topic,9.0,13.0,69.23076923076923,497.0,0.018108651911468814,Female,9.0,488.0,0.22853908352396177
2_Male,Student Issues: Interest in topic,4.0,13.0,30.76923076923077,516.0,0.007751937984496124,Male,4.0,512.0,0.22853908352396177
1_Female,Facilities: Access to equipment,8.0,17.0,47.05882352941176,497.0,0.01609657947686117,Female,8.0,489.0,0.9999999999999993
2_Male,Facilities: Access to equipment,9.0,17.0,52.94117647058824,516.0,0.01744186046511628,Male,9.0,507.0,0.9999999999999993
1_Female,Institutional: Inertia,2.0,3.0,66.66666666666666,497.0,0.004024144869215292,Female,2.0,495.0,0.9725934102678923
2_Male,Institutional: Inertia,1.0,3.0,33.33333333333333,516.0,0.001937984496124031,Male,1.0,515.0,0.9725934102678923
1_Female,State Restrictions,2.0,2.0,100.0,497.0,0.004024144869215292,Female,2.0,495.0,0.46089690148697243
2_Male,State Restrictions,0.0,2.0,0.0,516.0,0.0,Male,0.0,516.0,0.46089690148697243
1_Female,Accreditation,1.0,1.0,100.0,497.0,0.002012072434607646,Female,1.0,496.0,0.9842216806372726
2_Male,Accreditation,0.0,1.0,0.0,516.0,0.0,Male,0.0,516.0,0.9842216806372726
